epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc
1,1.731184089978536,44.721666666666664,1.4132139720916748,62.78,11.35
2,1.3189140144348144,67.80166666666666,1.169768332672119,76.57,11.35
3,1.0808862567901611,81.05333333333333,0.9825824675559998,85.21,11.63
4,0.9328075142542521,87.93,0.8626795722961426,91.17,14.51
5,0.8621562162081401,90.78333333333333,0.8189431264877319,92.49,19.97
6,0.833657113424937,91.70833333333333,0.8051373863220215,92.82,26.24
7,0.8167127479871115,92.25166666666667,0.7935332044601441,93.52,32.26
8,0.803386208375295,92.92,0.7856045495033264,93.65,38.93
9,0.7955903645197551,93.10666666666667,0.7814672891616822,93.98,45.7
10,0.7921472633997599,93.26,0.7786216074943543,93.92,52.31
