epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc,optimizer,elapsed_seconds
1,1.7406899770100912,44.71333333333333,1.3957337085723878,65.68,10.43,Unknown,1
2,1.236101067384084,73.19166666666666,1.0578606006622315,82.01,10.52,Unknown,2
3,0.9871480206171672,85.13166666666666,0.8911956328392029,89.88,12.14,Unknown,3
4,0.8877866437276204,89.46,0.8446504293441772,91.13,18.52,Unknown,4
5,0.8378178904215495,91.345,0.8077637137413025,92.59,30.88,Unknown,5
6,0.8150822954177857,92.225,0.7846357303619385,93.45,35.72,Unknown,6
7,0.7989562855084738,92.72833333333334,0.7831520360946655,93.35,37.69,Unknown,7
8,0.7880831986745198,93.07333333333334,0.7682138586044311,94.0,39.9,Unknown,8
9,0.7800430161158244,93.31166666666668,0.7655188064575196,93.94,42.86,Unknown,9
10,0.7767147535324097,93.57333333333334,0.7627146036148071,94.2,47.1,Unknown,10
