epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc
1,1.7393279635111492,44.70166666666667,1.3867304977416992,64.26,64.26
2,1.2363751084009806,73.745,1.0494955486297608,82.43,82.43
3,1.0169543040275573,84.05666666666667,0.9466264909744263,87.38,87.38
4,0.9239066942850749,87.89333333333333,0.8691510669708252,90.36,90.36
5,0.8667201427459716,90.13166666666666,0.8220635755538941,92.41,92.41
6,0.8391994859059652,91.12833333333333,0.8162420331954956,92.44,92.44
7,0.8214570810000101,91.715,0.7941957424163818,93.29,93.29
8,0.8071318037033081,92.38833333333334,0.783545648765564,93.56,93.56
9,0.797885298538208,92.70333333333333,0.7808261667251587,93.53,93.53
10,0.7947791252772013,92.92833333333333,0.7775322864532471,93.78,93.78
