epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc
1,1.6373276309331257,50.001666666666665,1.219335767364502,74.49,74.49
2,1.1053859011332194,79.67,0.9446048101425171,87.77,87.77
3,0.9197717838605245,88.42833333333333,0.8377505199432373,91.76,91.76
4,0.8485565391540527,90.9,0.8040998700141907,92.54,92.54
5,0.8019438400268555,92.725,0.7660001020431518,93.9,93.9
6,0.7756373390197754,93.41166666666666,0.7578956160545349,94.3,94.3
7,0.7578854914983114,94.08833333333334,0.7357716015815735,94.82,94.82
8,0.7450353533426921,94.42666666666666,0.7286727585792542,95.01,95.01
9,0.7376260522206625,94.67833333333333,0.7229210587501526,95.29,95.29
10,0.7343635377248128,94.765,0.7209406059265137,95.2,95.2
