epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc,optimizer,elapsed_seconds
1,1.763653452428182,43.61833333333333,1.4276028121948243,61.74,10.28,Unknown,1
2,1.248429490407308,73.18833333333333,1.0633317041397097,80.62,10.38,Unknown,2
3,0.9749296608289084,85.715,0.8796107929229736,90.18,18.23,Unknown,3
4,0.8819996004104614,89.57,0.8201996601104736,92.1,27.11,Unknown,4
5,0.8242308225631714,91.935,0.7845807940483093,93.58,35.45,Unknown,5
6,0.801365836461385,92.66333333333333,0.7890260274887085,93.12,41.07,Unknown,6
7,0.7837161415417989,93.25,0.7614731821060181,94.28,46.9,Unknown,7
8,0.771649307791392,93.75166666666668,0.7561141702651978,94.53,50.26,Unknown,8
9,0.7649795253753662,93.97,0.7501934505462646,94.58,51.23,Unknown,9
10,0.7622942567507426,93.92833333333331,0.7478170553207397,94.65,52.13,Unknown,10
