epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc,optimizer,elapsed_seconds
1,1.6374526134490968,51.545,1.2479688219070435,72.07,10.28,Unknown,1
2,1.0569589778264363,82.55166666666666,0.9531844074249268,87.14,10.28,Unknown,2
3,0.9123690262476604,88.48833333333333,0.8547524408340454,91.04,11.7,Unknown,3
4,0.8456314107577007,91.035,0.7948253154754639,92.67,17.44,Unknown,4
5,0.7979777509689331,92.725,0.7721234939575196,93.31,26.32,Unknown,5
6,0.7704832168896993,93.54166666666669,0.7457689356803894,94.5,33.62,Unknown,6
7,0.7482726158459981,94.23666666666666,0.7345309434890747,94.87,38.65,Unknown,7
8,0.7369175060908,94.69,0.7237119064331055,95.37,44.47,Unknown,8
9,0.7300928565343221,94.84666666666666,0.7200433979034424,95.3,49.87,Unknown,9
10,0.7260719544092814,94.93666666666668,0.7166864201545715,95.51,55.29,Unknown,10
