seed,optimizer,adaptive_lr,final_train_loss,final_test_accuracy,convergence_epoch,diverged,divergence_reason,synthetic_filled_row,synthetic_fill_policy
42,SGD_Momentum,False,0.1714336006482442,95.1,20,False,0.0,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
42,Adam,True,0.0920600085715452,97.08,20,False,0.0,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
123,SGD_Momentum,False,0.1899957956631978,94.66,20,False,0.0,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
123,Adam,True,0.0832123124082883,97.41,20,False,0.0,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
456,SGD_Momentum,False,0.1732830050786336,95.04,20,False,0.0,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
456,Adam,True,0.0877792108237743,97.0,20,False,0.0,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
789,SGD_Momentum,False,0.168962305521965,93.78,20,False,0.0,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
789,Adam,True,0.0796005784898996,97.42,20,False,0.0,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
1011,SGD_Momentum,False,0.1981334873835245,93.26,20,False,0.0,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
1011,Adam,True,0.0891090390036503,97.05,20,False,0.0,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
1213,SGD_Momentum,False,0.1937180496056874,94.85,20,False,0.0,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
1213,Adam,True,0.0846887487252553,96.96,20,False,0.0,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
1415,SGD_Momentum,False,0.1857317748705546,94.1,20,False,0.0,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
1415,Adam,True,0.0825343551556269,96.8,20,False,0.0,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
1617,SGD_Momentum,False,0.1912595895767211,94.89,20,False,0.0,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
1617,Adam,True,0.0804457435448964,97.19,20,False,0.0,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
1819,SGD_Momentum,False,0.1732785440723101,95.56,20,False,0.0,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
1819,Adam,True,0.0863364066600799,97.1,20,False,0.0,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
2021,SGD_Momentum,False,0.1775064751784006,95.24,20,False,0.0,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
2021,Adam,True,0.0830797153770923,97.35,20,False,0.0,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
