epoch,train_loss,train_acc,test_loss,test_acc
1,2.302311905415853,11.315,2.298957123565674,20.3
2,2.295705311838786,19.34,2.2917603733062744,20.58
3,2.285935057067871,20.538333333333334,2.277419807434082,19.9
4,2.2661018310546877,20.643333333333334,2.2500480960845946,22.04
5,2.230616116841634,23.93166666666667,2.2033954795837403,22.22
6,2.1690198905944826,26.328333333333333,2.1192305416107176,29.15
7,2.052341983604431,29.15,1.9549866161346436,30.89
8,1.8619433698654175,31.891666666666666,1.7400669803619384,33.03
9,1.6999703502019246,35.69166666666667,1.6182193988800049,37.07
10,1.6270512638727823,37.72833333333333,1.5664161758422852,38.95
