epoch,train_loss,train_acc,test_loss,test_acc
1,1.8668793601989746,35.525,1.547980390739441,40.41
2,1.3601426181793212,52.80833333333333,1.2050548671722412,54.92
3,1.1538804255803425,60.25333333333333,1.1684826147079468,59.13
4,1.0338950735410055,65.10166666666667,0.8625516065597534,73.9
5,0.9171902568499247,70.59666666666666,0.8674983839035034,74.22
6,0.80789895362854,75.19,0.6573239253997802,82.13
7,0.7118081236839294,78.26,0.5987936417579651,82.98
8,0.6096178364435831,82.03833333333333,0.5153133731365204,85.25
9,0.5497913343111674,83.81,0.47116657366752623,85.82
10,0.482820016113917,85.92833333333333,0.4189639887332916,88.19
