epoch,train_loss,train_acc,test_loss,test_acc,optimizer,elapsed_seconds
1,2.302137438583374,10.821666666666667,2.30170703125,11.35,SGD,1
2,2.3015523687998454,11.236666666666666,2.301310775756836,11.35,SGD,2
3,2.301331205113729,11.236666666666666,2.3011481338500976,11.35,SGD,3
4,2.301243397649129,11.236666666666666,2.301073551940918,11.35,SGD,4
5,2.3012086358388264,11.236666666666666,2.3010417537689207,11.35,SGD,5
6,2.301198275121053,11.236666666666666,2.301032593536377,11.35,SGD,6
7,2.301193820444743,11.236666666666666,2.3010276710510253,11.35,SGD,7
8,2.3011933197021484,11.236666666666666,2.301020487976074,11.35,SGD,8
9,2.3011924134572346,11.236666666666666,2.3010217357635496,11.35,SGD,9
10,2.3011922681172687,11.236666666666666,2.301020891952515,11.35,SGD,10
