epoch,train_loss,train_acc,test_loss,test_acc
1,1.8765562800725302,32.65,1.568857759284973,43.72
2,1.4464809143702189,48.541666666666664,1.3063501642227173,54.58
3,1.243334328142802,56.65833333333333,1.0591087930679322,66.5
4,1.1119488200187684,62.01833333333333,1.009018012046814,62.43
5,0.9975473033587138,66.74166666666666,0.9196441180229187,66.67
6,0.8704695152600607,72.19,0.7095900558948517,79.69
7,0.7694454133033752,76.09333333333333,0.6478825091361999,80.93
8,0.6688153292973836,79.48,0.5628787815570832,83.71
9,0.5805962573051453,82.64,0.6854962235450744,75.8
10,0.5260573385238647,84.32166666666667,0.5761044577121734,81.71
