epoch,train_loss,train_acc,test_loss,test_acc,optimizer,elapsed_seconds
1,2.3015698881785074,11.208333333333334,2.301080548477173,11.35,SGD,1
2,2.3013370807647706,11.236666666666666,2.30115177192688,11.35,SGD,2
3,2.301407651901245,11.151666666666667,2.30092474937439,11.35,SGD,3
4,2.301387278366089,11.236666666666666,2.301278666687012,11.35,SGD,4
5,2.301429732767741,11.236666666666666,2.3011507247924805,11.35,SGD,5
6,2.3013269973754884,11.236666666666666,2.3010505458831787,11.35,SGD,6
7,2.301358993911743,11.236666666666666,2.301214657974243,11.35,SGD,7
8,2.3013725327809653,11.236666666666666,2.3009596210479737,11.35,SGD,8
9,2.301307689285278,11.236666666666666,2.300973024368286,11.35,SGD,9
10,2.300869708506266,11.236666666666666,2.2998686542510987,11.35,SGD,10
