function,optimizer,GD_converged_rate,SGD_converged_rate,GD_avg_iters,SGD_avg_iters,GD_final_loss,SGD_final_loss,GD_valid_runs,SGD_valid_runs
Rosenbrock_Easy,SGD,0.0,0.0,5000.0,5000.0,0.0065468183162886665,0.006532324902977668,10,10
Rosenbrock_Easy,SGD_Momentum,1.0,1.0,2046.0,2042.2,9.929013182900718e-09,9.953209335530321e-09,10,10
Rosenbrock_Easy,Adam,1.0,1.0,1431.0,1417.2,9.9129083310235e-09,9.901082483809788e-09,10,10
Rosenbrock_Easy,RMSProp,0.0,0.0,5000.0,5000.0,0.02245352812881573,0.028303533235486622,10,10
Rosenbrock_Easy,SAM,0.0,0.0,5000.0,5000.0,0.32510022555149887,0.34006098965694853,10,10
Rosenbrock_Hard,SGD,0.0,0.0,5000.0,5000.0,3.4089141462002757,2.9045995472997013,10,10
Rosenbrock_Hard,SGD_Momentum,0.0,0.0,5000.0,5000.0,0.36355138419052296,5.0580141108734935,10,10
Rosenbrock_Hard,Adam,0.0,0.0,5000.0,5000.0,0.00014067951069455102,0.016626640193672992,10,10
Rosenbrock_Hard,RMSProp,0.0,0.0,5000.0,5000.0,0.37704568297323565,0.3220472986321739,10,10
Rosenbrock_Hard,SAM,0.0,0.0,5000.0,5000.0,420.7237167421831,338.0683184283215,10,10
Ackley2D,SGD,0.0,0.0,5000.0,5000.0,6.559645375627878,6.559645375627878,10,10
Ackley2D,SGD_Momentum,0.0,0.0,5000.0,5000.0,6.559645375627878,6.559645375627878,10,10
Ackley2D,Adam,0.0,0.0,5000.0,5000.0,6.559645375632374,6.559647996313399,10,10
Ackley2D,RMSProp,0.0,0.0,5000.0,5000.0,6.5609290034526,6.5605680213016315,10,10
Ackley2D,SAM,0.0,0.0,5000.0,5000.0,6.559723712509654,6.559681563363888,10,10
SaddlePoint,SGD,1.0,1.0,1.0,1.0,0.0,0.0,10,10
SaddlePoint,SGD_Momentum,1.0,1.0,1.0,1.0,0.0,0.0,10,10
SaddlePoint,Adam,1.0,1.0,1.0,1.0,0.0,0.0,10,10
SaddlePoint,RMSProp,1.0,1.0,1.0,1.0,0.0,0.0,10,10
SaddlePoint,SAM,1.0,1.0,1.0,1.0,0.0,0.0,10,10
IllConditioned_Easy,SGD,0.0,0.0,5000.0,5000.0,2.2631916450267248e-05,2.1938884422698918e-05,10,10
IllConditioned_Easy,SGD_Momentum,1.0,1.0,804.0,780.8,9.997131832386698e-09,9.935896743880005e-09,10,10
IllConditioned_Easy,Adam,1.0,1.0,173.0,278.4,2.4341154772437486e-09,9.183091778610595e-09,10,10
IllConditioned_Easy,RMSProp,1.0,0.0,142.0,5000.0,6.700512479099246e-09,0.0011495080804374202,10,10
IllConditioned_Easy,SAM,1.0,0.0,3043.0,5000.0,6.1258406205500196e-09,0.0004425705566126406,10,10
IllConditioned_Realistic,SGD,0.0,0.0,5000.0,5000.0,2.2954448385511172e-05,2.2073005592462173e-05,10,10
IllConditioned_Realistic,SGD_Momentum,1.0,1.0,820.0,762.6,9.871365690117374e-09,9.886307867197364e-09,10,10
IllConditioned_Realistic,Adam,1.0,1.0,163.0,504.2,1.1402503564267374e-09,9.746765916538058e-09,10,10
IllConditioned_Realistic,RMSProp,1.0,0.0,119.0,5000.0,2.504110390282168e-09,0.011545836127660388,10,10
IllConditioned_Realistic,SAM,0.0,0.0,5000.0,5000.0,1.250022380419171,1.1313306055181633,10,10
IllConditioned_Hard,SGD,0.0,0.0,5000.0,5000.0,17.278226967140792,11.785994560404763,10,10
IllConditioned_Hard,SGD_Momentum,0.0,0.0,5000.0,5000.0,192.387213904558,69.27385813360188,10,10
IllConditioned_Hard,Adam,1.0,1.0,21.0,636.6,2.6488689308964125e-13,9.797623868149528e-09,10,10
IllConditioned_Hard,RMSProp,1.0,0.0,94.0,5000.0,4.925812341638489e-09,0.12507406154426887,10,10
IllConditioned_Hard,SAM,0.0,0.0,5000.0,5000.0,61.867033320431666,1289.8364230812233,10,10
