Seed,Beta,Optimizer,Final_Train_Acc,Final_Test_Acc,Final_Train_Loss,Final_Test_Loss,mean_grad_norm,std_grad_norm,mean_update_mag,final_param_distance
42,0.0,momentum,45.67,48.2,2.0787885158538817,2.0493380336761473,1.8155515175247317,0.18920988014709883,0.0018155515175247315,0.2202654629945755
42,0.5,momentum,61.76,62.25,1.8655367141723633,1.8040699863433838,1.7854805602715194,0.1857637456947975,0.0017854805602715194,0.42398226261138916
42,0.9,momentum,80.79,79.45,0.9100109565258027,0.8360941972732544,1.4924310316070346,0.2628428966103128,0.0014924310316070347,1.450485110282898
42,0.99,momentum,86.41,84.9,0.4749870405137539,0.5859166235923767,1.526711239597115,0.31104517602465254,0.0015267112395971152,4.6768059730529785
123,0.0,momentum,42.32,43.45,2.118939640426636,2.0938541278839113,1.7904750299032524,0.1854058932431631,0.0017904750299032523,0.2169787436723709
123,0.5,momentum,59.89,57.9,1.9151736221313476,1.8566300868988037,1.7582646192495224,0.18066991534528862,0.0017582646192495232,0.41588330268859863
123,0.9,momentum,81.1,79.15,0.9337006103038787,0.847486343383789,1.4988297929113306,0.25021220250955856,0.0014988297929113305,1.4639382362365723
123,0.99,momentum,86.54,84.3,0.480370803797245,0.6059695596694946,1.56493102517581,0.32427124205647384,0.0015649310251758099,4.698019027709961
456,0.0,momentum,46.32,52.85,2.066617301750183,2.030068088531494,1.751652142156657,0.178281886836533,0.001751652142156657,0.2130877822637558
456,0.5,momentum,64.51,65.8,1.8635483243942261,1.7922744464874267,1.7317098664011539,0.17458141869152982,0.0017317098664011545,0.41264110803604126
456,0.9,momentum,82.63,81.15,0.9010419972896576,0.8145838751792908,1.474435915556689,0.24870762146196862,0.0014744359155566891,1.4471428394317627
456,0.99,momentum,86.67,84.75,0.47431802843213083,0.5786094603538513,1.5502084399471263,0.3035564806373143,0.0015502084399471262,4.62136173248291
