epoch,train_loss,val_loss,val_acc,test_acc,test_loss,synthetic_filled_row,synthetic_fill_policy
1,0.686505005051108,0.662981129805247,63.333333333333336,89.6,0.2567264711856842,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
2,0.5047460654693491,0.3573767810662587,86.26666666666667,89.6,0.2567264711856842,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
3,0.3266736021602855,0.373226463953654,84.53333333333333,89.6,0.2567264711856842,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
4,0.2826771510208354,0.3202107748190562,87.46666666666667,89.6,0.2567264711856842,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
5,0.2330062958072213,0.3435919754505157,87.2,89.6,0.2567264711856842,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
6,0.1986465332718456,0.3282964271704356,89.06666666666666,89.6,0.2567264711856842,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
7,0.1483270190603592,0.386451815366745,86.53333333333333,89.6,0.2567264711856842,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
8,0.1290367677983115,0.3580228548844655,87.46666666666667,89.6,0.2567264711856842,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
9,0.1026309081666609,0.4030854860941569,87.06666666666666,89.6,0.2567264711856842,1,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
10,0.0918160661669338,0.398702927271525,88.26666666666667,89.6,0.2567264711856842,0,numeric:interpolate_ffill_bfill_median;categorical:mode_or_marker
