epoch,train_acc,test_acc,train_loss,test_loss
1,86.37,81.8,0.5099235744476318,0.63581023645401
2,90.22,86.15,0.35396361441612245,0.47033125257492064
3,91.96,87.8,0.2936157429695129,0.4058287863731384
4,92.93,89.15,0.2601872994124889,0.37802734136581423
5,93.55,89.6,0.23301279711723327,0.3558803057670593
6,93.74,89.8,0.21670907583236695,0.3388992149829865
7,94.68,90.4,0.19320950179100035,0.3173950009346008
8,94.93,91.2,0.17643204518556596,0.3022303109169006
9,95.51,91.15,0.16017929544448853,0.2910340052843094
10,95.86,91.4,0.15008200776576996,0.2830969876050949
